,0,score,known
644,AMACR,0.7305749208511303,0
645,CYP3A5,0.7303379042243396,0
646,CYB5R1,0.7301791862158543,0
647,MAP2K7,0.7298497429891085,0
648,PLA2G15,0.7297628123938044,0
649,CD274,0.7297611981379417,0
650,SCP2,0.7288331726720777,0
651,ANPEP,0.7288194275681042,0
652,ACAA1,0.7286598268287156,0
654,ARG1,0.7285664565176023,0
655,RUNX2,0.7282860337284068,0
656,TAB2,0.7282655905198963,0
657,SETD6,0.7280742073676958,0
658,THBD,0.7275884420098183,0
659,CA9,0.7272613413351695,0
661,AMN,0.7271504822750793,0
662,ALDH1A3,0.7266372410416988,0
663,PCYOX1,0.726423300559191,0
664,BGN,0.7264032882228093,0
665,AOC3,0.726397328193963,0
666,CYP26C1,0.7261891017776152,0
667,GPC5,0.7260993508411534,0
668,NR4A1,0.7256521131663045,0
669,FOXL2,0.7256436673431749,0
670,AGK,0.7255701753777096,0
671,CES5A,0.725397979379658,0
673,PLA2G3,0.7245739195359403,0
674,CD163,0.7236485428630577,0
675,PRKCZ,0.723605475036515,0
676,PLAU,0.7235039915166618,0
677,CYP24A1,0.7233136552038074,0
678,FADS3,0.7230824760882677,0
679,PNPO,0.7230821224285049,0
680,PRKCB,0.7227796677500684,0
681,PLD2,0.7227650316502554,0
682,CYP3A7,0.7227407210809059,0
687,PEX2,0.721097581732456,0
688,BTD,0.7200683727923933,0
689,CPB1,0.7200093364494321,0
690,HMGCS2,0.7199278280137171,0
691,TNIK,0.7198514313112064,0
692,ACOX3,0.7193399434793205,0
693,GCLC,0.7186981408925665,0
695,CD86,0.7173038715511921,0
696,NFATC2,0.717146115306189,0
697,PAX8,0.7171455638837368,0
698,SCG3,0.7171424484436816,0
699,PERM1,0.7170886490916576,0
700,PEX5,0.7169735015185116,0
701,TRIP6,0.7166355142164026,0
702,PECR,0.7166034575904007,0
703,ELK1,0.7162398780027384,0
704,F3,0.7160716859696488,0
705,GRHL1,0.7160330079475767,0
706,SIGIRR,0.7158563282387644,0
708,AOC2,0.7154254353369782,0
709,IKBKB,0.7153801578545874,0
710,MCL1,0.7153563267959888,0
711,ETFA,0.7151494135214611,0
712,NAT2,0.7149795042094704,0
713,MALT1,0.7144843293762642,0
714,ANGPT2,0.7142933332189036,0
715,DUSP1,0.7142869331697471,0
716,ADAM10,0.7140796792377392,0
717,CD28,0.7140644615226083,0
718,EGLN2,0.7139193005141541,0
719,SLCO1B1,0.7138183810434249,0
720,GPC2,0.7134073643720771,0
721,GRB10,0.7131048707175301,0
722,IL23A,0.712123881684406,0
723,RDH5,0.712080421873631,0
724,ASPH,0.7116542633369016,0
725,DBH,0.7114985272492796,0
726,TLR8,0.7114028290363739,0
