gene,module
C16orf70,ME 3
C16orf87,ME 15
C17orf49,ME 15
C17orf49,ME 31
C17orf59,ME 10
C17orf70,ME 1
C17orf75,ME 1
C17orf85,ME 1
C18orf21,ME 15
C18orf8,ME 1
C19orf12,ME 22
C19orf25,ME 2
C19orf52,ME 1
C1orf123,ME 21
C1orf162,ME 2
C1QA,ME 8
C1QB,ME 8
C1QBP,ME 14
C1QC,ME 8
C1R,ME 8
C1S,ME 8
C2,ME 8
C21orf33,ME 3
C21orf33,ME 3
C21orf59,ME 4
C2CD5,ME 1
C2orf43,ME 3
C2orf47,ME 2
C2orf49,ME 4
C3,ME 32
C3,ME 8
C3AR1,ME 7
C3orf17,ME 14
C3orf38,ME 2
C4A,ME 8
C4B,ME 8
C4BPA,ME 8
C4BPB,ME 8
C5,ME 8
C5AR1,ME 7
C6,ME 8
C6orf120,ME 27
C6orf211,ME 1
C6orf25,ME 5
C6orf57,ME 3
C7,ME 8
C7orf26,ME 3
C7orf43,ME 1
C7orf50,ME 25
C7orf55,ME 6
C8A,ME 8
C8B,ME 8
C8G,ME 8
C9,ME 8
C9orf114,ME 6
C9orf142,ME 1
C9orf41,ME 3
C9orf72,ME 7
C9orf78,ME 4
C9orf89,ME 2
CA2,ME 19
CA4,ME 20
CA5B,ME 17
CA8,ME 35
CAAP1,ME 3
CAB39,ME 12
CABIN1,ME 1
CACUL1,ME 5
CACYBP,ME 18
CAD,ME 3
CALCOCO2,ME 7
CALD1,ME 33
CALML4,ME 7
CALR,ME 5
CALU,ME 38
CAMK1,ME 9
CAMK1D,ME 1
CAMK2D,ME 1
CAMK2G,ME 2
CAMK2G,ME 21
CAMK4,ME 17
CAMKK2,ME 7
CAMP,ME 20
CAND1,ME 22
CANX,ME 5
CAP1,ME 9
CAP1,ME 12
CAPG,ME 5
CAPN1,ME 20
CAPN1,ME 9
CAPN15,ME 2
CAPN2,ME 3
CAPN5,ME 6
CAPNS1,ME 1
CAPRIN1,ME 3
CAPZA1,ME 9
CAPZA2,ME 42
CAPZB,ME 9
CARD11,ME 16
CARD16,ME 8
CARD17,ME 1
CARD6,ME 5
CARD8,ME 12
CARD9,ME 7
CARKD,ME 4
CARM1,ME 14
CARNS1,ME 29
CARS,ME 3
CARS,ME 4
CASP1,ME 1
CASP10,ME 3
CASP2,ME 1
CASP3,ME 18
CASP4,ME 1
CASP6,ME 2
CASP8,ME 10
CAST,ME 20
CAST,ME 30
CAT,ME 19
CBFA2T3,ME 28
CBFB,ME 1
CBFB,ME 6
CBFB,ME 21
CBL,ME 9
CBLB,ME 6
CBLL1,ME 4
CBR1,ME 4
CBR3,ME 3
CBR4,ME 1
CBX1,ME 1
CBX3,ME 4
CBX4,ME 6
CBX5,ME 6
CBX6,ME 2
CBX7,ME 16
CC2D1A,ME 10
CCAR1,ME 4
CCAR2,ME 27
CCAR2,ME 4
CCBL1,ME 1
CCBL2,ME 18
CCDC109B,ME 40
CCDC115,ME 2
CCDC12,ME 3
CCDC132,ME 12
CCDC134,ME 11
CCDC22,ME 9
CCDC51,ME 14
CCDC58,ME 3
CCDC59,ME 6
CCDC6,ME 3
CCDC86,ME 14
CCDC88A,ME 36
CCDC91,ME 1
CCDC92,ME 17
CCDC93,ME 13
CCDC94,ME 9
CCL20,ME 15
CCL5,ME 29
CCM2,ME 12
CCNDBP1,ME 7
CCNK,ME 2
CCNL1,ME 1
CCNL2,ME 3
CCNT1,ME 2
CCNT2,ME 2
CCNY,ME 10
CCP110,ME 1
CCR1,ME 41
CCR10,ME 6
CCR2,ME 5
CCR3,ME 32
CCR5,ME 3
CCR7,ME 1
CCS,ME 2
CCT2,ME 4
CCT3,ME 3
CCT4,ME 4
CCT5,ME 3
CCT6A,ME 3
CCT7,ME 4
CCT8,ME 3
CCZ1,ME 10
CCZ1B,ME 10
CD101,ME 13
CD14,ME 8
CD151,ME 35
CD160,ME 29
CD163,ME 5
CD177,ME 20
CD180,ME 23
CD19,ME 15
CD1C,ME 23
CD2,ME 17
CD200R1,ME 7
CD207,ME 5
CD22,ME 15
CD226,ME 30
CD244,ME 24
CD247,ME 17
CD248,ME 35
CD27,ME 17
CD276,ME 19
CD28,ME 17
CD2AP,ME 2
CD2BP2,ME 3
CD300A,ME 41
CD300E,ME 1
CD300LF,ME 7
CD33,ME 7
CD36,ME 27
CD38,ME 19
CD3D,ME 17
CD3E,ME 17
CD3EAP,ME 25
CD3G,ME 17
CD4,ME 3
CD40,ME 15
CD44,ME 11
CD46,ME 12
CD47,ME 21
CD48,ME 30
CD5,ME 17
CD55,ME 13
CD58,ME 24
CD59,ME 16
CD6,ME 17
CD63,ME 32
CD68,ME 27
CD7,ME 17
CD72,ME 15
CD74,ME 5
CD74,ME 15
CD79A,ME 15
CD79B,ME 15
CD81,ME 6
CD84,ME 1
CD86,ME 27
CD8A,ME 29
CD8B,ME 29
CD9,ME 7
CD93,ME 7
CD96,ME 17
CD97,ME 26
CD99,ME 16
CD99,ME 6
CDA,ME 7
CDAN1,ME 6
CDC123,ME 2
CDC16,ME 45
CDC23,ME 3
CDC26,ME 6
CDC27,ME 3
CDC40,ME 2
CDC42,ME 2
CDC42EP3,ME 24
CDC42EP4,ME 7
CDC45,ME 7
CDC5L,ME 22
CDC6,ME 27
CDC73,ME 1
CDCA7L,ME 4
CDH13,ME 6
CDK1,ME 19
CDK11A,ME 2
CDK11B,ME 1
CDK12,ME 45
CDK13,ME 1
CDK17,ME 1
CDK2,ME 3
CDK2AP1,ME 15
CDK4,ME 1
CDK5,ME 9
CDK5RAP3,ME 3
CDK6,ME 2
CDK7,ME 1
CDK9,ME 1
CDKAL1,ME 14
CDKN1B,ME 25
CDKN1C,ME 5
CDKN2AIP,ME 4
CDKN2AIPNL,ME 40
CDKN2C,ME 1
CDS2,ME 2
CDV3,ME 6
CEACAM1,ME 20
CEACAM3,ME 20
CEACAM6,ME 20
CEACAM8,ME 20
CEBPA,ME 7
CEBPB,ME 7
CEBPD,ME 5
CEBPE,ME 7
CEBPZ,ME 14
CECR1,ME 13
CECR5,ME 40
CELF1,ME 4
CELF2,ME 1
CENPB,ME 1
CENPC,ME 2
CENPE,ME 2
CENPH,ME 20
CENPJ,ME 2
CENPM,ME 5
CENPN,ME 7
CENPP,ME 7
CEP120,ME 1
CEP128,ME 8
CEP135,ME 1
CEP152,ME 16
CEP164,ME 6
CEP170,ME 15
CEP192,ME 2
CEP250,ME 22
CEP350,ME 10
CEP41,ME 3
CEP57,ME 11
CEP78,ME 11
CEPT1,ME 2
CERS2,ME 4
CERS6,ME 2
CES1,ME 27
CETN2,ME 16
CETN3,ME 6
CETP,ME 8
CFAP20,ME 2
CFB,ME 8
CFD,ME 32
CFH,ME 8
CFH,ME 8
CFHR1,ME 8
CFHR5,ME 8
CFI,ME 8
CFL1,ME 6
CFLAR,ME 1
CFP,ME 7
CGGBP1,ME 16
CHAMP1,ME 4
CHCHD2,ME 3
CHCHD3,ME 3
CHCHD4,ME 3
CHCHD5,ME 1
CHCHD7,ME 3
CHD1,ME 12
CHD1L,ME 2
CHD3,ME 17
CHD4,ME 4
CHD8,ME 11
CHERP,ME 2
CHGA,ME 8
CHI3L1,ME 20
CHI3L2,ME 5
CHID1,ME 3
CHIT1,ME 20
CHKB,ME 1
CHM,ME 9
CHMP1B,ME 4
CHMP4A,ME 44
CHMP4A,ME 18
CHMP4B,ME 15
CHMP5,ME 4
CHMP6,ME 13
CHMP7,ME 4
CHN2,ME 24
CHORDC1,ME 4
CHP1,ME 9
CHPT1,ME 5
CHRAC1,ME 18
CHST12,ME 29
CHST14,ME 2
CHTF18,ME 19
CHTF8,ME 21
CHTF8,ME 5
CHTOP,ME 4
CHUK,ME 10
CIAO1,ME 4
CIAPIN1,ME 4
CIB1,ME 12
CIRBP,ME 6
CIRH1A,ME 25
CISD1,ME 3
CISD2,ME 18
CISD3,ME 22
CIZ1,ME 1
CKAP2L,ME 5
CKAP4,ME 7
CKAP5,ME 2
CKB,ME 27
CKLF,ME 13
CLASP1,ME 9
CLASP2,ME 2
CLASP2,ME 18
CLC,ME 32
CLCN3,ME 13
CLCN5,ME 5
CLCN7,ME 13
CLDND1,ME 5
CLEC10A,ME 8
CLEC12A,ME 7
CLEC16A,ME 13
CLEC3B,ME 8
CLEC4C,ME 28
CLEC4D,ME 20
CLEC4E,ME 7
CLEC5A,ME 20
CLIC1,ME 24
CLIC2,ME 27
CLIC3,ME 29
CLIC4,ME 19
CLIC5,ME 11
CLINT1,ME 23
CLIP1,ME 30
CLIP2,ME 23
CLK1,ME 1
CLK3,ME 4
CLK4,ME 6
CLN3,ME 13
CLN5,ME 1
CLN8,ME 18
CLNS1A,ME 3
CLP1,ME 2
CLPB,ME 2
CLPP,ME 3
CLPTM1L,ME 6
CLPX,ME 3
CLTA,ME 19
CLTB,ME 15
CLTC,ME 41
CLU,ME 8
CLUH,ME 5
CMAS,ME 1
CMC1,ME 3
CMC2,ME 3
CMIP,ME 5
CMPK1,ME 4
CMPK2,ME 2
CMSS1,ME 34
CMTM7,ME 15
CMTR1,ME 12
CMTR2,ME 1
CNBP,ME 44
CNDP1,ME 8
CNDP2,ME 3
CNN2,ME 16
CNNM3,ME 1
CNOT1,ME 2
CNOT10,ME 4
CNOT2,ME 3
CNOT3,ME 3
CNOT4,ME 22
CNOT6L,ME 1
CNOT7,ME 18
CNOT8,ME 3
CNP,ME 5
CNPY2,ME 5
CNPY3,ME 47
CNR2,ME 19
CNST,ME 2
CNTNAP2,ME 19
CNTRL,ME 1
COA3,ME 45
COA4,ME 3
COA5,ME 3
COA6,ME 11
COA7,ME 3
COASY,ME 10
COBLL1,ME 15
COG3,ME 2
COG4,ME 3
COG8,ME 2
COIL,ME 3
COL1A1,ME 33
COL2A1,ME 15
COL4A3BP,ME 13
COL6A1,ME 6
COLGALT1,ME 5
COMMD1,ME 42
COMMD10,ME 13
COMMD2,ME 46
COMMD3,ME 9
COMMD4,ME 31
COMMD5,ME 1
COMMD6,ME 13
COMMD7,ME 9
COMMD8,ME 13
COMMD9,ME 13
COMP,ME 33
COMT,ME 46
COPA,ME 4
COPB1,ME 2
COPB2,ME 2
COPE,ME 18
COPG1,ME 2
COPG2,ME 9
COPRS,ME 8
COPS2,ME 2
COPS3,ME 1
COPS4,ME 12
COPS5,ME 2
COPS6,ME 18
COPS7A,ME 2
COPS7B,ME 1
COPS7B,ME 2
COPZ1,ME 18
COQ10B,ME 2
COQ3,ME 2
COQ5,ME 1
COQ6,ME 1
COQ7,ME 1
COQ9,ME 4
CORO1A,ME 7
CORO1A,ME 16
CORO1B,ME 19
CORO1C,ME 19
CORO2B,ME 15
CORO7,ME 1
CORO7,ME 4
COTL1,ME 13
COX11,ME 2
COX15,ME 1
COX17,ME 15
COX18,ME 7
COX19,ME 3
COX20,ME 3
COX4I1,ME 3
COX5A,ME 3
COX5B,ME 40
COX6A1,ME 4
COX6B1,ME 11
COX7A2,ME 40
COX7A2L,ME 11
COX8A,ME 15
CP,ME 8
CPA3,ME 35
CPA4,ME 5
CPM,ME 5
CPN1,ME 8
CPN2,ME 8
CPNE1,ME 21
CPNE3,ME 12
CPOX,ME 18
CPPED1,ME 5
CPSF1,ME 11
CPSF2,ME 2
CPSF3,ME 2
CPSF4,ME 22
CPSF6,ME 4
CPSF7,ME 2
CPT1A,ME 46
CPT2,ME 9
CR1,ME 7
CR1,ME 7
CR2,ME 15
CRACR2A,ME 32
CRADD,ME 1
CRAT,ME 2
CRBN,ME 1
CREB1,ME 1
CREBBP,ME 12
CREG1,ME 7
CRELD2,ME 38
CRIP1,ME 4
CRISP3,ME 20
CRK,ME 5
CRKL,ME 21
CRLF3,ME 1
CRNKL1,ME 2
CRTAP,ME 5
CRTC1,ME 3
CRTC2,ME 1
CRTC2,ME 4
CRTC3,ME 6
CRYAB,ME 7
CRYL1,ME 1
CRYM,ME 28
CRYZ,ME 6
CS,ME 1
CS,ME 7
CSDE1,ME 43
CSE1L,ME 3
CSF1,ME 7
CSF2RA,ME 5
CSF2RB,ME 35
CSF3R,ME 20
CSGALNACT2,ME 5
CSK,ME 2
CSNK1A1,ME 4
CSNK1D,ME 2
CSNK1E,ME 28
CSNK1G1,ME 2
CSNK2A1,ME 31
CSNK2A2,ME 2
CSNK2B,ME 10
CSRP1,ME 1
CSRP3,ME 33
CST3,ME 5
CST7,ME 29
CSTA,ME 7
CSTB,ME 1
CSTF1,ME 4
CSTF2,ME 4
CSTF2T,ME 4
CSTF3,ME 2
CTAGE5,ME 5
CTBP1,ME 2
CTBP2,ME 5
CTBS,ME 26
CTC1,ME 22
CTCF,ME 4
CTDP1,ME 2
CTDSP1,ME 1
CTNNA1,ME 36
CTNNBL1,ME 2
CTNND1,ME 27
CTPS1,ME 18
CTPS2,ME 1
CTR9,ME 2
CTSA,ME 26
CTSB,ME 5
CTSC,ME 26
CTSD,ME 26
CTSF,ME 29
CTSG,ME 7
CTSH,ME 5
CTSL,ME 11
