,scores,logfc
NLE1,0.0205428171841281,0.109616653
POLR3E,0.0205314960394156,0.417874255
CPEB3,0.020531326859722,0.722459983
RRP12,0.019978835773487,0.260724054
DPH7,0.0196526984096815,0.177339353
LARS2,0.0190943210421282,4.845568396
PNN,0.018978235816165,1.31337912
CFAP20,0.0189477404122001,1.495834077
WDFY2,0.0187413939346335,0.659426256
WDR18,0.0184610946417677,2.771864656
TAF1B,0.0176023706154484,0.174021561
POLG2,0.0173033345135641,0.249521201
PUS7,0.0172278499538108,0.310044843
DIMT1,0.0170558728027098,0.208185493
ARL2,0.0169683805150618,0.331795113
BFAR,0.0169587573589658,2.63564171
GTPBP10,0.0164671291351805,0.749758204
NOL6,0.0159518861449345,0.642215746
TRUB1,0.0158115665894939,0.560131206
ARL16,0.0148930578091676,0.242340251
UNC119,0.0145717167562071,0.303142409
TXNL4B,0.0140186585577931,0.199960147
SNRPN,0.013828035833643,0.245807859
MPC1,0.0132521441821727,17.00995645
EDC3,0.0131211540682894,0.624215553
DHX37,0.0129933650780938,0.200523132
MFSD2A,0.0126821421424603,4.105950483
WDR4,0.0124085618735815,0.277063942
EXD1,0.0121169503914362,0.170845596
TRAM2,0.0103786963440675,1.022066775
LSM3,0.0092717107660542,0.392976251
CDK18,0.0081892073060137,1.369243709
CPSF4L,0.0069750823635066,0.219325219
CPEB1,0.0064436516945697,0.200692388
PPIL1,0.0063200204514874,0.439317009
CCDC130,0.0060472635573047,0.202808055
CCDC151,0.0056340724205761,0.220882601
