0,score,known
PROCR,0.7503938263207935,0
CREB3L1,0.7502911334287393,0
GLO1,0.7496762142848927,0
HELZ2,0.7496642626435253,0
ENSG00000259040,0.749558398665512,0
TIAM2,0.7487310802841591,0
FUCA2,0.748308633461214,0
FGB,0.7469658883712236,1
IGFBP7,0.7462201284903077,0
S100A12,0.7460741231420728,0
RXRA,0.7459196364447561,0
GAS6,0.7457348143331599,0
IL10RB,0.7455529534906162,0
DUSP2,0.7453765901416075,0
BLVRB,0.745038777032276,0
PEX14,0.7449831710867945,0
SPHK2,0.7449583545420115,0
CRABP2,0.7449070699169543,0
HGF,0.7446476407036797,1
CCRL2,0.74456789642895,0
GPC6,0.7443373318124394,0
IL10RA,0.7442224144649267,0
CREB3,0.7442054563933337,0
ACOX2,0.7439131623160702,0
CAV1,0.7438952777688723,0
CES4A,0.743769948827112,0
FMO3,0.7429559508514797,0
AMBP,0.7426536803423748,1
PLA2R1,0.7422478970685711,0
SLC51A,0.7420181033031753,1
NR1H2,0.7419702189561272,0
APP,0.7415722187818033,0
PLA2G12B,0.7412681527499033,0
SLC10A2,0.7412307413864726,1
TNFRSF25,0.7411820604174943,0
ACADS,0.7410506874266801,0
UGT1A7,0.740426171183693,0
IL4R,0.7401542474165845,0
FKBP1A,0.7400115430245959,0
SPP1,0.7398858997937391,1
BAD,0.739833817801418,0
PHOSPHO2,0.7397705666748121,0
ERO1L,0.739431442676085,0
AFP,0.7393687622581683,1
KYNU,0.7392608280520935,0
RAP2A,0.7391598500546935,0
FGFR3,0.7391209760758921,0
AOC1,0.7387676833149608,0
NR2F2,0.7387474661896716,0
NLRP3,0.7387231470468072,1
TNFRSF11B,0.7385588408718115,0
KIT,0.7380102010045988,0
LIFR,0.7377408844188384,0
GGT2,0.7374131225389146,0
HOGA1,0.7370710583516729,0
MAPK14,0.7369282403770173,1
ADH1B,0.7368921372459394,1
STAT5A,0.7368751185169713,0
CCL4,0.7362576002402401,1
DECR2,0.7362036206750412,0
MDK,0.7361773451226505,0
APOH,0.7361404711126043,1
CPB2,0.7359821625167353,1
GATM,0.7359015728181522,0
ITGB2,0.7358516832044263,0
PCYT1A,0.7354528818954135,0
ACKR1,0.7350437483223253,0
APCS,0.7350272471359929,1
DCSTAMP,0.7350234165788635,0
A1BG,0.7348986801603632,0
ATF6,0.7346264042940405,0
TXNRD2,0.7344931872346887,0
G0S2,0.734009872951365,0
CRLF2,0.7329218632150992,0
VCAN,0.7328116558396129,0
STAT5B,0.732751447285025,0
CYP26A1,0.7326421665976988,0
UBE2D2,0.7324993917590464,0
IRS4,0.7323810170162054,0
SASH3,0.7323177862242312,0
USF1,0.732176521038796,0
TOLLIP,0.7321381655973418,0
IGFBP4,0.7313464568800648,1
CREB3L4,0.7311039908307064,0
TEK,0.7310253090444104,0
CDON,0.7306685464003856,0
AMACR,0.7305749208511303,0
CYP3A5,0.7303379042243396,0
CYB5R1,0.7301791862158543,0
MAP2K7,0.7298497429891085,0
PLA2G15,0.7297628123938044,0
CD274,0.7297611981379417,0
SCP2,0.7288331726720777,0
ANPEP,0.7288194275681042,0
ACAA1,0.7286598268287156,0
HIF1A,0.7286358578933753,1
ARG1,0.7285664565176023,0
RUNX2,0.7282860337284068,0
TAB2,0.7282655905198963,0
SETD6,0.7280742073676958,0
THBD,0.7275884420098183,0
CA9,0.7272613413351695,0
INS,0.7272326685026619,1
AMN,0.7271504822750793,0
ALDH1A3,0.7266372410416988,0
PCYOX1,0.726423300559191,0
BGN,0.7264032882228093,0
AOC3,0.726397328193963,0
CYP26C1,0.7261891017776152,0
GPC5,0.7260993508411534,0
NR4A1,0.7256521131663045,0
FOXL2,0.7256436673431749,0
AGK,0.7255701753777096,0
CES5A,0.725397979379658,0
ALDH1B1,0.7247412266893318,1
PLA2G3,0.7245739195359403,0
CD163,0.7236485428630577,0
PRKCZ,0.723605475036515,0
PLAU,0.7235039915166618,0
CYP24A1,0.7233136552038074,0
FADS3,0.7230824760882677,0
PNPO,0.7230821224285049,0
PRKCB,0.7227796677500684,0
PLD2,0.7227650316502554,0
CYP3A7,0.7227407210809059,0
SERPINA10,0.7227181513973261,1
ESR1,0.7225854111440599,1
HP,0.7217590163147082,1
GPT,0.7216695414984734,1
PEX2,0.721097581732456,0
BTD,0.7200683727923933,0
CPB1,0.7200093364494321,0
HMGCS2,0.7199278280137171,0
TNIK,0.7198514313112064,0
ACOX3,0.7193399434793205,0
GCLC,0.7186981408925665,0
IL22,0.7185137501386073,1
CD86,0.7173038715511921,0
NFATC2,0.717146115306189,0
PAX8,0.7171455638837368,0
SCG3,0.7171424484436816,0
PERM1,0.7170886490916576,0
PEX5,0.7169735015185116,0
TRIP6,0.7166355142164026,0
PECR,0.7166034575904007,0
ELK1,0.7162398780027384,0
F3,0.7160716859696488,0
GRHL1,0.7160330079475767,0
SIGIRR,0.7158563282387644,0
HNF4A,0.7156125597738291,1
AOC2,0.7154254353369782,0
IKBKB,0.7153801578545874,0
MCL1,0.7153563267959888,0
ETFA,0.7151494135214611,0
NAT2,0.7149795042094704,0
MALT1,0.7144843293762642,0
ANGPT2,0.7142933332189036,0
DUSP1,0.7142869331697471,0
ADAM10,0.7140796792377392,0
CD28,0.7140644615226083,0
EGLN2,0.7139193005141541,0
SLCO1B1,0.7138183810434249,0
GPC2,0.7134073643720771,0
GRB10,0.7131048707175301,0
IL23A,0.712123881684406,0
RDH5,0.712080421873631,0
ASPH,0.7116542633369016,0
